danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,audio_features,4GiVcDqNQI0fc0yYuRGH9m,spotify:track:4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/tracks/4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/audio-analysis/4GiVcDqNQI0fc0yYuRGH9m,219467,4
0.412,0.966,10,-3.007,0,0.0383,0.000502,0.0,0.225,0.735,143.09,audio_features,3Vz4JalmlS6UuoH7cUtEDn,spotify:track:3Vz4JalmlS6UuoH7cUtEDn,https://api.spotify.com/v1/tracks/3Vz4JalmlS6UuoH7cUtEDn,https://api.spotify.com/v1/audio-analysis/3Vz4JalmlS6UuoH7cUtEDn,200680,4
0.359,0.996,8,-2.936,1,0.0933,0.000668,0.618,0.101,0.276,148.014,audio_features,54hjFPLAWMurvAqlh0fifV,spotify:track:54hjFPLAWMurvAqlh0fifV,https://api.spotify.com/v1/tracks/54hjFPLAWMurvAqlh0fifV,https://api.spotify.com/v1/audio-analysis/54hjFPLAWMurvAqlh0fifV,245133,4
0.342,0.82,1,-10.91,0,0.046,2.62e-05,0.749,0.104,0.525,119.421,audio_features,1hTmOdxJWP3i3i2tYEHxtK,spotify:track:1hTmOdxJWP3i3i2tYEHxtK,https://api.spotify.com/v1/tracks/1hTmOdxJWP3i3i2tYEHxtK,https://api.spotify.com/v1/audio-analysis/1hTmOdxJWP3i3i2tYEHxtK,201760,4
0.325,0.985,11,-3.941,1,0.151,0.00177,0.107,0.351,0.221,125.307,audio_features,5LyRtsQLhcXmy50VXhQXXS,spotify:track:5LyRtsQLhcXmy50VXhQXXS,https://api.spotify.com/v1/tracks/5LyRtsQLhcXmy50VXhQXXS,https://api.spotify.com/v1/audio-analysis/5LyRtsQLhcXmy50VXhQXXS,392600,4
0.278,0.985,11,-1.934,1,0.129,0.000234,0.000235,0.104,0.342,104.803,audio_features,4g3QZlvz39UllCcRXDZ0Do,spotify:track:4g3QZlvz39UllCcRXDZ0Do,https://api.spotify.com/v1/tracks/4g3QZlvz39UllCcRXDZ0Do,https://api.spotify.com/v1/audio-analysis/4g3QZlvz39UllCcRXDZ0Do,277800,4
0.543,0.982,1,-3.899,1,0.0458,2.81e-05,0.481,0.107,0.76,126.955,audio_features,6cnwze7gJwZajRxpbDY9sm,spotify:track:6cnwze7gJwZajRxpbDY9sm,https://api.spotify.com/v1/tracks/6cnwze7gJwZajRxpbDY9sm,https://api.spotify.com/v1/audio-analysis/6cnwze7gJwZajRxpbDY9sm,216320,4
0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,audio_features,2UREu1Y8CO4jXkbvqAtP7g,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,https://api.spotify.com/v1/tracks/2UREu1Y8CO4jXkbvqAtP7g,https://api.spotify.com/v1/audio-analysis/2UREu1Y8CO4jXkbvqAtP7g,178013,4
0.356,0.923,4,-6.757,1,0.0697,0.000957,0.0981,0.127,0.131,109.112,audio_features,2AG4R9KDrbvSPg1Ti8ZAaF,spotify:track:2AG4R9KDrbvSPg1Ti8ZAaF,https://api.spotify.com/v1/tracks/2AG4R9KDrbvSPg1Ti8ZAaF,https://api.spotify.com/v1/audio-analysis/2AG4R9KDrbvSPg1Ti8ZAaF,284893,4
0.481,0.887,11,-6.599,0,0.0657,0.00431,4.89e-06,0.122,0.283,116.338,audio_features,1PKoTatNuBtPubpadeiPXj,spotify:track:1PKoTatNuBtPubpadeiPXj,https://api.spotify.com/v1/tracks/1PKoTatNuBtPubpadeiPXj,https://api.spotify.com/v1/audio-analysis/1PKoTatNuBtPubpadeiPXj,308307,3
